Assets,,,,Liabilities,,
Cash,,XXX,,Accouts Payable - COGS,,XXX
,Cash — LP checking,XXX,,,AP COGS Clearing,XXX
,Cash — KP checking,XXX,,,AP-Shipping Clearing,XXX
,Cash — BP checking,XXX,,,AP-Tariff Clearing,XXX
,Cash — WBP checking,XXX,,Accounts Payable - Marketing,,XXX
,Cash — One Ops checking,XXX,,,AP-Google Ads Clearing,XXX
Account Receivable,,XXX,,,AP-Meta Ads Celaring,XXX
,AR-Stripe Clearing,XXX,,,AP-Bing Ads Clearing,XXX
,AR-Paypal Clearing,XXX,,,AP-ASI Clearing,XXX
,AR-Wires/Checks Clearing,XXX,,Accounts Payable - Salaries,,XXX
Account Receivable - I/C,,,,,AP Salaries Clearing,XXX
Inventory,,XXX,,,Tax Withholding - Clearing,XXX
Prepaid expenses,,XXX,,,AP-Medicare & SS Clearing,XXX
Total Assets,,XXX,,,AP-SUTA & FUTA Clearing,XXX
,,,,Accounts Payable - Others,,XXX
,,,,,Credit card payable — LP,XXX
,,,,,Credit card payable — KP,XXX
,,,,,Credit card payable — BP,XXX
,,,,Accounts Payable - Sales Tax,,XXX
,,,,Accounts Payable - I/C,,XXX
,,,,,,
,,,,Total Liabilities,,XXX
,,,,,,
,,,,Owner's Equity,,
,,,,Retained Earnings,,XXX
,,,,,Net Income,XXX
,,,,,Owner's Distribution,(XXX)
,,,,,,
,,,,Total Owner's Equity,,XXX
,,,,,,
,,,,,,
,,,,,,
TOTAL ASSET = LIABILITIES + OWNER'S EQUITY,,,,,,
OR,,,,,,
TOTAL ASSET - TOTAL LIABILITIES = OWNER'S EQUITY,,,,,,
,,,,,,
